carbon_monoxide,nitrogen_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,particulates2_5,particulates10,ammonia,air_quality_index,date
343.8,0.15,17.31,15.38,0.31,4.3,5.17,0.72,1,2023-11-18 11:00:00
347.14,0.42,17.82,11.27,0.32,4.59,5.52,0.53,1,2023-11-18 12:00:00
393.87,2.99,22.62,3.89,0.37,6.07,7.28,0.76,1,2023-11-18 13:00:00
467.3,10.95,24.68,0.61,0.45,7.79,9.43,1.12,1,2023-11-18 14:00:00
507.35,18.55,19.88,5.05,0.55,8.41,10.58,1.42,1,2023-11-18 15:00:00
480.65,18.55,15.08,10.64,0.68,7.63,10.37,1.74,1,2023-11-18 16:00:00
480.65,19.67,13.37,12.7,0.88,7.5,10.62,2.12,1,2023-11-18 17:00:00
487.33,20.56,14.22,14.48,1.24,7.8,11.22,2.31,1,2023-11-18 18:00:00
340.46,4.75,12.17,56.51,2.06,4.5,7.14,1.38,1,2023-11-18 19:00:00
300.41,2.43,9.0,68.66,1.8,3.39,5.32,1.11,2,2023-11-18 20:00:00
280.38,1.59,8.14,72.24,1.67,3.0,4.71,1.04,2,2023-11-18 21:00:00
320.43,2.04,16.62,56.51,1.59,3.77,5.49,1.5,1,2023-11-18 22:00:00
393.87,1.22,32.56,28.61,1.42,5.13,6.98,2.18,1,2023-11-18 23:00:00
433.92,0.85,38.39,13.23,1.04,5.91,7.86,2.6,1,2023-11-19 00:00:00
427.25,1.1,35.64,10.64,0.69,6.62,8.74,2.79,1,2023-11-19 01:00:00
410.56,0.71,30.5,12.87,0.77,6.95,9.12,2.72,1,2023-11-19 02:00:00
380.52,0.26,25.36,18.6,1.19,6.59,8.7,2.5,1,2023-11-19 03:00:00
343.8,0.05,19.71,28.25,1.45,5.82,7.8,2.18,1,2023-11-19 04:00:00
330.45,0.03,17.99,31.83,1.09,5.5,7.33,2.06,1,2023-11-19 05:00:00
313.76,0.01,14.39,35.76,0.72,5.03,6.62,1.88,1,2023-11-19 06:00:00
297.07,0.0,10.62,39.7,0.52,4.77,6.18,1.79,1,2023-11-19 07:00:00
290.39,0.0,8.23,42.2,0.54,4.75,6.04,1.74,1,2023-11-19 08:00:00
283.72,0.0,7.2,43.63,0.83,4.9,6.05,1.68,1,2023-11-19 09:00:00
280.38,0.0,6.85,44.35,1.42,5.4,6.45,1.46,1,2023-11-19 10:00:00
280.38,0.0,7.11,43.27,1.59,5.69,6.68,1.28,1,2023-11-19 11:00:00
283.72,0.0,7.63,42.56,1.4,5.85,6.83,1.17,1,2023-11-19 12:00:00
293.73,0.01,10.02,40.77,1.27,6.48,7.55,1.17,1,2023-11-19 13:00:00
310.42,0.04,13.54,37.55,1.3,7.21,8.39,1.31,1,2023-11-19 14:00:00
323.77,0.52,14.74,37.55,1.46,8.02,9.3,1.35,1,2023-11-19 15:00:00
320.43,0.91,13.37,42.56,2.29,8.6,9.74,1.16,1,2023-11-19 16:00:00
320.43,1.2,12.34,47.21,2.8,8.44,9.33,1.08,1,2023-11-19 17:00:00
310.42,1.19,10.8,52.21,2.86,8.21,9.01,0.93,1,2023-11-19 18:00:00
290.39,0.68,9.68,57.22,2.98,8.28,9.09,0.75,1,2023-11-19 19:00:00
273.7,0.45,9.0,62.23,3.49,8.08,9.04,0.64,2,2023-11-19 20:00:00
257.02,0.23,8.4,67.95,3.93,7.38,8.43,0.53,2,2023-11-19 21:00:00
247.0,0.06,7.71,74.39,4.47,6.47,7.49,0.47,2,2023-11-19 22:00:00
250.34,0.01,7.54,74.39,4.41,6.33,7.55,0.56,2,2023-11-19 23:00:00
253.68,0.0,6.94,73.67,3.55,6.24,7.66,0.7,2,2023-11-20 00:00:00
253.68,0.0,6.0,74.39,2.8,5.39,6.51,0.74,2,2023-11-20 01:00:00
247.0,0.0,5.31,74.39,2.32,4.61,5.25,0.61,2,2023-11-20 02:00:00
243.66,0.0,4.76,73.67,2.21,4.08,4.58,0.48,2,2023-11-20 03:00:00
243.66,0.0,4.2,76.53,2.18,3.75,4.22,0.39,2,2023-11-20 04:00:00
240.33,0.0,3.98,78.68,2.24,3.28,3.6,0.32,2,2023-11-20 05:00:00
236.99,0.0,3.51,79.39,2.03,3.1,3.28,0.23,2,2023-11-20 06:00:00
236.99,0.0,3.47,79.39,1.91,3.35,3.49,0.19,2,2023-11-20 07:00:00
236.99,0.0,3.38,78.68,1.86,3.5,3.63,0.16,2,2023-11-20 08:00:00
236.99,0.0,3.3,76.53,1.76,3.35,3.47,0.16,2,2023-11-20 09:00:00
236.99,0.0,3.64,72.24,1.88,3.41,3.53,0.16,2,2023-11-20 10:00:00
243.66,0.0,4.37,66.52,2.29,4.07,4.2,0.16,2,2023-11-20 11:00:00
250.34,0.0,5.65,61.51,3.01,5.23,5.38,0.18,2,2023-11-20 12:00:00
267.03,0.0,8.14,59.37,3.99,7.01,7.26,0.25,1,2023-11-20 13:00:00
277.04,0.0,10.54,59.37,4.83,8.02,8.41,0.34,1,2023-11-20 14:00:00
277.04,0.11,11.14,59.37,5.19,7.7,8.14,0.42,1,2023-11-20 15:00:00
270.37,0.45,10.11,55.79,4.89,7.0,7.41,0.46,1,2023-11-20 16:00:00
270.37,0.78,9.25,52.21,4.65,6.39,6.77,0.47,1,2023-11-20 17:00:00
277.04,1.01,8.83,50.78,4.53,6.11,6.48,0.44,1,2023-11-20 18:00:00
283.72,1.02,9.51,50.07,4.35,6.1,6.44,0.39,1,2023-11-20 19:00:00
293.73,1.05,10.8,49.35,3.99,5.97,6.28,0.36,1,2023-11-20 20:00:00
300.41,0.79,11.82,48.64,3.55,5.6,5.89,0.34,1,2023-11-20 21:00:00
297.07,0.34,12.0,49.35,2.92,4.95,5.22,0.34,1,2023-11-20 22:00:00
297.07,0.04,11.82,50.07,2.41,4.39,4.65,0.38,1,2023-11-20 23:00:00
297.07,0.0,11.65,50.78,2.03,4.34,4.59,0.43,1,2023-11-21 00:00:00
290.39,0.0,10.62,50.78,1.71,4.36,4.63,0.48,1,2023-11-21 01:00:00
283.72,0.0,9.51,50.78,1.48,4.26,4.56,0.52,1,2023-11-21 02:00:00
277.04,0.0,8.05,52.21,1.21,4.17,4.48,0.51,1,2023-11-21 03:00:00
273.7,0.0,7.54,52.21,0.95,4.01,4.35,0.52,1,2023-11-21 04:00:00
273.7,0.0,7.45,50.07,1.03,3.47,3.81,0.48,1,2023-11-21 05:00:00
270.37,0.0,8.05,47.21,3.16,3.24,3.58,0.38,1,2023-11-21 06:00:00
270.37,0.0,8.83,47.21,4.83,3.66,4.07,0.36,1,2023-11-21 07:00:00
270.37,0.0,7.63,50.07,3.78,3.73,4.13,0.38,1,2023-11-21 08:00:00
267.03,0.0,5.48,50.07,1.73,3.47,3.79,0.44,1,2023-11-21 09:00:00
270.37,0.0,4.37,47.92,0.72,4.19,4.43,0.55,1,2023-11-21 10:00:00
277.04,0.0,3.6,50.07,0.59,6.2,6.53,0.76,1,2023-11-21 11:00:00
270.37,0.0,3.38,51.5,1.03,3.87,4.35,1.11,1,2023-11-21 12:00:00
257.02,0.0,3.47,60.08,1.48,1.35,1.64,1.17,2,2023-11-21 13:00:00
247.0,0.0,4.07,66.52,1.4,0.75,0.94,1.14,2,2023-11-21 14:00:00
243.66,0.2,3.9,72.24,1.22,0.53,0.71,1.08,2,2023-11-21 15:00:00
240.33,0.52,3.17,74.39,1.16,0.5,0.68,1.01,2,2023-11-21 16:00:00
236.99,0.66,2.61,75.82,1.19,0.5,0.67,0.96,2,2023-11-21 17:00:00
233.65,0.68,2.33,77.25,1.25,0.5,0.67,0.93,2,2023-11-21 18:00:00
233.65,0.66,2.25,78.68,1.22,0.5,0.67,0.93,2,2023-11-21 19:00:00
233.65,0.61,2.38,80.11,1.15,0.51,0.68,0.95,2,2023-11-21 20:00:00
233.65,0.5,2.53,81.54,1.07,0.52,0.69,0.95,2,2023-11-21 21:00:00
236.99,0.31,3.21,82.97,1.09,0.53,0.71,0.97,2,2023-11-21 22:00:00
243.66,0.07,4.71,82.25,1.16,0.59,0.78,1.06,2,2023-11-21 23:00:00
250.34,0.0,5.83,79.39,1.27,0.69,0.91,1.2,2,2023-11-22 00:00:00
253.68,0.0,6.43,76.53,1.45,0.84,1.11,1.33,2,2023-11-22 01:00:00
257.02,0.0,6.43,75.1,1.52,0.96,1.28,1.46,2,2023-11-22 02:00:00
257.02,0.0,6.08,73.67,1.4,1.0,1.33,1.54,2,2023-11-22 03:00:00
267.03,0.0,7.2,69.38,1.16,1.3,1.69,1.71,2,2023-11-22 04:00:00
277.04,0.0,8.74,62.94,1.0,1.64,2.1,1.9,2,2023-11-22 05:00:00
277.04,0.0,8.4,59.37,0.98,1.52,1.96,1.96,1,2023-11-22 06:00:00
273.7,0.0,7.88,55.79,1.04,1.51,1.94,2.22,1,2023-11-22 07:00:00
273.7,0.0,7.88,50.78,1.01,1.72,2.16,2.5,1,2023-11-22 08:00:00
273.7,0.01,8.23,47.21,1.03,2.02,2.51,2.79,1,2023-11-22 09:00:00
283.72,0.02,10.02,40.77,1.04,2.64,3.21,3.13,1,2023-11-22 10:00:00
297.07,0.05,13.54,31.83,1.1,3.49,4.17,3.51,1,2023-11-22 11:00:00
313.76,0.18,17.82,23.6,1.12,4.24,5.05,4.05,1,2023-11-22 12:00:00
373.84,1.93,27.42,9.75,1.15,6.24,7.37,5.26,1,2023-11-22 13:00:00
453.95,8.94,30.5,1.83,1.15,7.79,9.19,6.08,1,2023-11-22 14:00:00
473.98,14.08,24.33,7.69,0.91,7.52,8.99,5.26,1,2023-11-22 15:00:00
320.43,4.02,12.85,41.84,1.34,3.58,4.4,3.01,1,2023-11-22 16:00:00
290.39,3.49,8.65,47.92,1.27,2.6,3.26,2.6,1,2023-11-22 17:00:00
277.04,3.07,6.94,49.35,1.19,1.78,2.34,2.37,1,2023-11-22 18:00:00
243.66,1.3,4.28,71.53,1.24,1.17,1.67,1.46,2,2023-11-22 19:00:00
236.99,0.95,3.86,76.53,1.25,1.35,2.04,1.28,2,2023-11-22 20:00:00
236.99,0.72,3.94,77.25,1.3,1.51,2.36,1.25,2,2023-11-22 21:00:00
240.33,0.51,5.57,73.67,1.3,1.72,2.68,1.31,2,2023-11-22 22:00:00
253.68,0.12,8.74,67.23,1.22,2.02,3.13,1.46,2,2023-11-22 23:00:00
267.03,0.0,11.14,62.94,1.12,2.37,3.67,1.58,2,2023-11-23 00:00:00
277.04,0.0,13.54,58.65,1.07,2.89,4.51,1.74,1,2023-11-23 01:00:00
287.06,0.0,14.91,55.79,0.98,3.52,5.57,1.85,1,2023-11-23 02:00:00
290.39,0.0,15.08,52.93,0.86,4.15,6.56,1.95,1,2023-11-23 03:00:00
297.07,0.0,15.08,48.64,0.8,4.91,7.46,2.15,1,2023-11-23 04:00:00
310.42,0.01,15.77,41.13,0.77,5.71,8.46,2.37,1,2023-11-23 05:00:00
310.42,0.01,13.71,36.84,0.67,5.5,9.08,2.15,1,2023-11-23 06:00:00
290.39,0.01,9.94,39.34,0.54,5.16,9.18,1.96,1,2023-11-23 07:00:00
270.37,0.0,7.11,46.49,0.68,5.09,8.24,2.06,1,2023-11-23 08:00:00
257.02,0.0,6.25,52.21,1.8,4.25,6.27,1.99,1,2023-11-23 09:00:00
253.68,0.0,6.68,54.36,3.73,3.23,4.56,2.03,1,2023-11-23 10:00:00
253.68,0.0,6.25,54.36,2.92,3.26,4.44,2.31,1,2023-11-23 11:00:00
257.02,0.0,5.36,52.93,1.64,4.12,5.35,2.28,1,2023-11-23 12:00:00
270.37,0.01,6.68,49.35,1.77,5.47,6.67,2.18,1,2023-11-23 13:00:00
283.72,0.02,8.91,45.78,2.06,5.88,6.84,2.5,1,2023-11-23 14:00:00
287.06,0.38,9.0,47.21,1.97,4.88,5.53,2.75,1,2023-11-23 15:00:00
280.38,1.24,6.77,52.93,1.85,3.28,3.77,2.53,1,2023-11-23 16:00:00
270.37,1.51,5.06,58.65,1.77,2.0,2.4,2.12,1,2023-11-23 17:00:00
260.35,1.36,4.16,65.09,1.68,1.26,1.6,1.77,2,2023-11-23 18:00:00
253.68,1.06,3.86,72.24,1.33,0.87,1.16,1.52,2,2023-11-23 19:00:00
250.34,0.85,4.07,75.82,1.33,0.72,1.0,1.42,2,2023-11-23 20:00:00
247.0,0.59,4.46,75.82,1.49,0.68,0.96,1.42,2,2023-11-23 21:00:00
247.0,0.23,5.23,75.1,1.45,0.68,0.96,1.49,2,2023-11-23 22:00:00
253.68,0.03,6.6,72.24,1.4,0.8,1.09,1.63,2,2023-11-23 23:00:00
260.35,0.0,7.63,70.1,1.42,0.88,1.2,1.79,2,2023-11-24 00:00:00
260.35,0.0,7.28,70.1,1.52,0.94,1.28,1.84,2,2023-11-24 01:00:00
257.02,0.0,6.25,72.24,1.56,0.98,1.31,1.8,2,2023-11-24 02:00:00
250.34,0.0,5.27,75.1,1.65,0.92,1.24,1.82,2,2023-11-24 03:00:00
250.34,0.0,4.84,76.53,1.86,0.86,1.17,1.79,2,2023-11-24 04:00:00
247.0,0.0,4.5,77.25,1.83,0.77,1.06,1.73,2,2023-11-24 05:00:00
243.66,0.0,3.73,77.96,1.55,0.61,0.87,1.65,2,2023-11-24 06:00:00
243.66,0.0,3.26,77.25,1.34,0.58,0.82,1.63,2,2023-11-24 07:00:00
243.66,0.0,3.08,75.82,1.36,0.58,0.81,1.63,2,2023-11-24 08:00:00
240.33,0.0,3.04,75.1,1.46,0.61,0.84,1.66,2,2023-11-24 09:00:00
240.33,0.0,3.04,74.39,1.51,0.62,0.86,1.69,2,2023-11-24 10:00:00
243.66,0.0,3.17,73.67,1.56,0.65,0.89,1.73,2,2023-11-24 11:00:00
243.66,0.0,3.64,72.24,1.73,0.71,0.96,1.79,2,2023-11-24 12:00:00
250.34,0.0,5.23,69.38,1.97,0.9,1.2,1.93,2,2023-11-24 13:00:00
260.35,0.01,7.28,67.23,2.21,1.04,1.4,2.06,2,2023-11-24 14:00:00
263.69,0.12,8.05,65.8,2.53,1.09,1.5,2.12,2,2023-11-24 15:00:00
263.69,0.5,7.88,65.09,3.16,1.09,1.54,2.15,2,2023-11-24 16:00:00
263.69,1.01,7.11,65.09,3.52,1.04,1.51,2.12,2,2023-11-24 17:00:00
260.35,1.36,6.34,65.8,3.58,1.02,1.5,2.12,2,2023-11-24 18:00:00
260.35,1.19,6.85,66.52,3.43,1.07,1.54,2.12,2,2023-11-24 19:00:00
263.69,0.98,7.63,66.52,3.55,1.1,1.58,2.15,2,2023-11-24 20:00:00
263.69,0.65,8.31,66.52,3.67,1.07,1.56,2.15,2,2023-11-24 21:00:00
263.69,0.25,9.0,65.8,3.46,1.04,1.52,2.18,2,2023-11-24 22:00:00
273.7,0.04,10.71,62.94,3.46,1.13,1.62,2.28,2,2023-11-24 23:00:00
280.38,0.01,12.17,60.08,3.64,1.28,1.82,2.44,2,2023-11-25 00:00:00
283.72,0.01,12.34,58.65,3.81,1.46,2.05,2.56,1,2023-11-25 01:00:00
280.38,0.01,11.82,57.94,3.93,1.61,2.26,2.72,1,2023-11-25 02:00:00
280.38,0.01,11.31,57.22,4.23,1.7,2.4,2.88,1,2023-11-25 03:00:00
277.04,0.01,11.48,55.79,4.83,1.81,2.55,3.04,1,2023-11-25 04:00:00
273.7,0.0,11.31,55.07,5.25,1.81,2.54,3.04,1,2023-11-25 05:00:00
267.03,0.0,10.28,55.07,5.48,1.66,2.35,2.82,1,2023-11-25 06:00:00
263.69,0.0,9.34,55.07,5.78,1.66,2.31,2.6,1,2023-11-25 07:00:00
260.35,0.0,9.17,55.07,5.96,1.84,2.48,2.47,1,2023-11-25 08:00:00
260.35,0.0,9.68,54.36,6.62,2.1,2.76,2.41,1,2023-11-25 09:00:00
260.35,0.0,10.37,53.64,7.51,2.33,3.02,2.37,1,2023-11-25 10:00:00
263.69,0.0,11.14,52.21,8.7,2.52,3.26,2.37,1,2023-11-25 11:00:00
263.69,0.0,11.48,52.21,9.3,2.67,3.48,2.37,1,2023-11-25 12:00:00
270.37,0.0,12.34,52.21,8.94,2.88,3.73,2.41,1,2023-11-25 13:00:00
283.72,0.01,14.22,50.07,8.46,3.02,3.88,2.44,1,2023-11-25 14:00:00
290.39,0.05,15.59,48.64,7.87,3.14,4.01,2.47,1,2023-11-25 15:00:00
287.06,0.19,14.22,49.35,6.38,3.08,3.93,2.31,1,2023-11-25 16:00:00
283.72,0.47,12.68,51.5,5.25,2.94,3.72,2.09,1,2023-11-25 17:00:00
280.38,1.01,11.14,53.64,4.59,2.9,3.63,1.87,1,2023-11-25 18:00:00
280.38,1.23,9.51,55.79,3.4,2.93,3.57,1.66,1,2023-11-25 19:00:00
280.38,1.06,9.17,57.22,2.65,3.0,3.54,1.5,1,2023-11-25 20:00:00
280.38,0.8,9.68,57.22,2.47,2.98,3.45,1.39,1,2023-11-25 21:00:00
283.72,0.45,11.14,56.51,2.29,2.97,3.38,1.35,1,2023-11-25 22:00:00
290.39,0.06,12.68,54.36,2.0,2.92,3.3,1.33,1,2023-11-25 23:00:00
293.73,0.01,13.54,52.21,1.73,2.91,3.27,1.28,1,2023-11-26 00:00:00
300.41,0.01,14.22,49.35,1.61,3.11,3.46,1.22,1,2023-11-26 01:00:00
300.41,0.01,13.71,47.92,1.55,3.27,3.6,1.16,1,2023-11-26 02:00:00
293.73,0.01,11.48,50.07,1.37,3.16,3.45,1.08,1,2023-11-26 03:00:00
283.72,0.0,9.25,54.36,1.15,2.73,2.98,0.99,1,2023-11-26 04:00:00
277.04,0.0,7.28,58.65,0.93,2.18,2.38,0.84,1,2023-11-26 05:00:00
267.03,0.0,5.65,61.51,0.78,1.74,1.87,0.63,2,2023-11-26 06:00:00
260.35,0.0,4.41,63.66,0.65,1.44,1.53,0.49,2,2023-11-26 07:00:00
253.68,0.0,3.43,66.52,0.51,1.1,1.17,0.44,2,2023-11-26 08:00:00
250.34,0.0,2.68,70.81,0.43,0.76,0.82,0.44,2,2023-11-26 09:00:00
247.0,0.0,2.74,71.53,0.52,0.66,0.73,0.53,2,2023-11-26 10:00:00
247.0,0.0,3.17,70.1,0.61,0.77,0.89,0.77,2,2023-11-26 11:00:00
250.34,0.0,3.81,67.95,0.6,0.97,1.14,1.2,2,2023-11-26 12:00:00
260.35,0.0,6.25,64.37,0.63,1.43,1.69,2.01,2,2023-11-26 13:00:00
277.04,0.01,8.4,60.8,0.66,1.86,2.28,2.91,2,2023-11-26 14:00:00
270.37,0.2,7.03,62.94,0.66,1.69,2.2,3.45,2,2023-11-26 15:00:00
253.68,0.42,3.9,67.95,0.6,1.02,1.36,2.44,2,2023-11-26 16:00:00
243.66,0.59,2.51,67.95,0.46,0.5,0.68,1.14,2,2023-11-26 17:00:00
240.33,0.59,1.8,66.52,0.33,0.5,0.6,0.65,2,2023-11-26 18:00:00
236.99,0.52,1.5,67.23,0.26,0.5,0.57,0.57,2,2023-11-26 19:00:00
240.33,0.48,1.52,66.52,0.27,0.5,0.57,0.55,2,2023-11-26 20:00:00
233.65,0.37,1.61,69.38,0.31,0.5,0.57,0.57,2,2023-11-26 21:00:00
226.97,0.25,2.46,77.25,0.47,0.5,0.59,0.66,2,2023-11-26 22:00:00
230.31,0.05,4.2,79.39,0.57,0.5,0.64,0.85,2,2023-11-26 23:00:00
243.66,0.0,5.65,76.53,0.62,0.55,0.73,1.11,2,2023-11-27 00:00:00
267.03,0.0,8.31,68.66,0.64,1.01,1.28,1.57,2,2023-11-27 01:00:00
287.06,0.01,10.71,60.8,0.63,1.63,2.05,2.03,2,2023-11-27 02:00:00
297.07,0.01,11.48,55.07,0.58,2.01,2.54,2.34,1,2023-11-27 03:00:00
300.41,0.01,11.65,51.5,0.54,2.17,2.76,2.6,1,2023-11-27 04:00:00
293.73,0.01,10.37,52.93,0.48,1.88,2.43,2.79,1,2023-11-27 05:00:00
280.38,0.0,7.88,57.22,0.45,1.29,1.72,2.94,1,2023-11-27 06:00:00
267.03,0.0,6.34,60.8,0.5,1.11,1.46,3.17,2,2023-11-27 07:00:00
260.35,0.0,5.57,62.23,0.57,1.18,1.55,3.36,2,2023-11-27 08:00:00
257.02,0.0,4.93,62.94,0.62,1.25,1.69,3.55,2,2023-11-27 09:00:00
253.68,0.0,4.37,63.66,0.65,1.26,1.7,3.8,2,2023-11-27 10:00:00
253.68,0.0,4.28,64.37,0.72,1.27,1.68,3.93,2,2023-11-27 11:00:00
257.02,0.0,4.88,64.37,0.83,1.38,1.79,3.93,2,2023-11-27 12:00:00
277.04,0.01,8.05,61.51,1.0,1.92,2.4,4.02,2,2023-11-27 13:00:00
303.75,0.02,13.02,55.79,1.18,2.52,3.17,4.31,1,2023-11-27 14:00:00
320.43,0.43,15.59,51.5,1.31,2.88,3.71,4.56,1,2023-11-27 15:00:00
320.43,1.41,14.74,49.35,1.48,3.03,4.26,4.81,1,2023-11-27 16:00:00
307.08,2.4,11.31,51.5,1.55,2.98,4.97,4.94,1,2023-11-27 17:00:00
293.73,2.46,8.4,54.36,1.48,2.82,5.48,4.75,1,2023-11-27 18:00:00
263.69,1.38,4.63,66.52,0.97,1.98,3.97,3.23,2,2023-11-27 19:00:00
253.68,1.01,3.86,72.24,0.82,1.71,3.15,2.44,2,2023-11-27 20:00:00
253.68,0.74,3.77,75.1,0.75,1.42,2.44,1.95,2,2023-11-27 21:00:00
260.35,0.57,5.57,74.39,0.85,1.16,1.82,1.61,2,2023-11-27 22:00:00
280.38,0.13,9.17,68.66,0.83,1.13,1.65,1.6,2,2023-11-27 23:00:00
293.73,0.0,11.48,62.94,0.78,1.29,1.73,1.74,2,2023-11-28 00:00:00
310.42,0.01,13.71,58.65,0.82,1.8,2.26,2.15,1,2023-11-28 01:00:00
327.11,0.01,15.59,55.07,0.8,2.6,3.21,2.63,1,2023-11-28 02:00:00
333.79,0.01,15.77,52.93,0.79,3.16,3.91,3.01,1,2023-11-28 03:00:00
353.81,0.03,19.36,47.21,0.81,4.38,5.36,3.61,1,2023-11-28 04:00:00
383.85,0.08,24.33,38.62,0.84,5.67,6.88,4.31,1,2023-11-28 05:00:00
383.85,0.07,23.99,35.41,0.87,5.2,6.4,4.43,1,2023-11-28 06:00:00
360.49,0.05,20.56,35.41,0.88,4.35,5.42,4.31,1,2023-11-28 07:00:00
337.12,0.03,17.31,36.48,0.86,3.81,4.73,4.31,1,2023-11-28 08:00:00
317.1,0.03,14.91,36.48,0.83,3.51,4.3,4.56,1,2023-11-28 09:00:00
310.42,0.03,13.71,35.41,0.82,3.48,4.23,5.0,1,2023-11-28 10:00:00
313.76,0.06,14.57,31.11,0.89,3.9,4.7,5.51,1,2023-11-28 11:00:00
330.45,0.17,17.65,24.68,1.03,4.83,5.74,6.02,1,2023-11-28 12:00:00
393.87,1.38,27.42,12.16,1.19,7.43,8.61,6.78,1,2023-11-28 13:00:00
473.98,6.59,34.62,2.95,1.3,9.89,11.34,7.54,1,2023-11-28 14:00:00
494.0,13.19,28.1,7.6,1.3,10.42,11.94,7.54,2,2023-11-28 15:00:00
350.48,4.58,14.05,37.19,1.24,5.73,6.75,4.43,1,2023-11-28 16:00:00
313.76,3.8,8.74,45.06,1.12,4.57,5.46,3.58,1,2023-11-28 17:00:00
303.75,3.49,7.28,46.49,1.07,4.24,5.06,3.1,1,2023-11-28 18:00:00
260.35,1.41,4.11,66.52,1.39,3.22,4.18,1.84,2,2023-11-28 19:00:00
253.68,1.15,4.2,72.96,2.74,3.94,5.1,1.57,2,2023-11-28 20:00:00
250.34,0.79,4.16,79.39,2.18,4.53,5.77,1.38,2,2023-11-28 21:00:00
263.69,0.6,7.03,77.96,1.52,5.32,6.73,1.46,2,2023-11-28 22:00:00
297.07,0.15,13.37,65.8,1.27,6.54,8.18,1.8,2,2023-11-28 23:00:00
330.45,0.01,19.02,53.64,1.01,7.28,9.1,2.18,1,2023-11-29 00:00:00
350.48,0.02,22.96,44.35,0.79,8.14,10.34,2.6,1,2023-11-29 01:00:00
353.81,0.03,22.28,39.34,0.69,9.17,11.58,2.85,1,2023-11-29 02:00:00
343.8,0.03,19.36,39.7,0.65,9.57,11.88,2.85,1,2023-11-29 03:00:00
330.45,0.01,16.45,44.7,0.58,9.22,11.41,2.66,1,2023-11-29 04:00:00
313.76,0.01,14.05,50.07,0.51,7.77,9.76,2.44,1,2023-11-29 05:00:00
293.73,0.0,10.8,54.36,0.44,5.48,7.14,2.18,1,2023-11-29 06:00:00
270.37,0.0,7.88,57.94,0.39,3.66,4.94,1.99,1,2023-11-29 07:00:00
257.02,0.0,6.08,59.37,0.38,2.87,3.91,1.9,1,2023-11-29 08:00:00
250.34,0.0,5.18,61.51,0.41,2.55,3.48,1.8,2,2023-11-29 09:00:00
247.0,0.0,4.93,60.8,0.42,2.52,3.39,1.77,2,2023-11-29 10:00:00
253.68,0.0,5.57,57.94,0.51,2.84,3.69,2.09,1,2023-11-29 11:00:00
260.35,0.0,7.2,52.93,0.59,3.35,4.26,2.37,1,2023-11-29 12:00:00
297.07,0.03,13.88,43.99,0.74,4.63,5.77,2.98,1,2023-11-29 13:00:00
360.49,0.23,25.02,30.4,0.86,6.23,7.67,3.83,1,2023-11-29 14:00:00
410.56,4.47,28.1,25.75,0.84,7.4,9.15,4.12,1,2023-11-29 15:00:00
423.91,9.72,23.31,28.97,0.92,7.94,9.96,4.02,1,2023-11-29 16:00:00
413.89,11.51,19.54,31.47,1.13,7.99,10.16,3.74,1,2023-11-29 17:00:00
390.53,10.62,17.31,35.05,1.55,7.65,9.87,3.39,1,2023-11-29 18:00:00
307.08,4.41,11.48,57.94,2.32,5.56,7.86,2.37,1,2023-11-29 19:00:00
283.72,3.05,10.02,64.37,2.26,4.95,7.3,2.06,2,2023-11-29 20:00:00
283.72,2.35,10.71,62.94,2.21,4.93,7.16,2.01,2,2023-11-29 21:00:00
287.06,1.12,13.37,57.94,1.94,4.97,7.06,2.09,1,2023-11-29 22:00:00
300.41,0.13,16.28,49.35,1.48,5.03,6.93,2.28,1,2023-11-29 23:00:00
313.76,0.02,17.14,43.27,0.97,5.11,6.77,2.44,1,2023-11-30 00:00:00
317.1,0.03,17.31,41.13,0.77,5.67,7.4,2.47,1,2023-11-30 01:00:00
307.08,0.01,15.25,43.99,0.93,6.45,8.47,2.25,1,2023-11-30 02:00:00
290.39,0.01,11.82,50.07,1.06,6.67,8.77,1.92,1,2023-11-30 03:00:00
273.7,0.0,9.08,55.07,0.97,5.8,7.69,1.73,1,2023-11-30 04:00:00
270.37,0.0,8.31,57.22,0.86,5.55,7.21,1.63,1,2023-11-30 05:00:00
270.37,0.0,7.45,59.37,0.86,6.21,7.85,1.47,1,2023-11-30 06:00:00
270.37,0.0,6.77,61.51,0.8,7.43,9.46,1.42,2,2023-11-30 07:00:00
273.7,0.0,6.6,62.23,0.69,8.69,11.38,1.35,2,2023-11-30 08:00:00
280.38,0.0,6.68,60.08,0.6,9.85,13.01,1.12,2,2023-11-30 09:00:00
287.06,0.0,7.28,56.51,0.54,10.85,14.15,0.83,2,2023-11-30 10:00:00
290.39,0.0,8.31,50.78,0.61,11.25,14.33,0.95,2,2023-11-30 11:00:00
300.41,0.01,10.45,43.27,0.72,10.87,13.48,1.41,2,2023-11-30 12:00:00
337.12,0.1,17.31,32.19,0.8,10.45,12.58,2.25,2,2023-11-30 13:00:00
380.52,0.36,25.02,23.25,0.94,10.32,12.52,3.1,2,2023-11-30 14:00:00
373.84,1.31,21.76,28.25,1.01,10.01,12.74,3.07,2,2023-11-30 15:00:00
313.76,2.37,10.88,41.84,2.41,8.96,11.86,2.91,1,2023-11-30 16:00:00
303.75,3.58,8.91,42.56,4.35,8.62,11.34,2.69,1,2023-11-30 17:00:00
297.07,3.74,7.71,44.35,5.13,8.41,10.76,2.66,1,2023-11-30 18:00:00
